iter	Logloss
0	0.6704162927
1	0.6450650589
2	0.6203731714
3	0.5956191061
4	0.5712021533
5	0.5472295587
6	0.5277151829
7	0.5104296708
8	0.493662161
9	0.4774788619
10	0.4581677306
11	0.4392311321
12	0.4269103073
13	0.401521026
14	0.3901007449
15	0.3787214314
16	0.3665608928
17	0.3526210773
18	0.3371778182
19	0.3220075449
20	0.3086709142
21	0.294691446
22	0.2866827177
23	0.2746539497
24	0.2626141638
25	0.2512945142
26	0.239762722
27	0.2330525827
28	0.2248629101
29	0.216159804
30	0.2091731688
31	0.2030277102
32	0.195672216
33	0.1862123904
34	0.1811689637
35	0.1764940515
36	0.1706588254
37	0.1623013041
38	0.1563557772
39	0.1531553692
40	0.1485412962
41	0.1436012858
42	0.1413390264
43	0.1366653036
44	0.1313911025
45	0.1272431429
46	0.1222867457
47	0.1189361766
48	0.1157045136
49	0.1116145986
50	0.1093034393
51	0.1063786254
52	0.1025415434
53	0.09932367868
54	0.09748418994
55	0.09595767747
56	0.09393143878
57	0.09098212263
58	0.08965721379
59	0.0877748778
60	0.08651668242
61	0.084978113
62	0.08296750233
63	0.08164244719
64	0.07945999759
65	0.07770964579
66	0.07564915338
67	0.07455810024
68	0.07333360623
69	0.07171496503
70	0.07051238552
71	0.06919366221
72	0.06849858578
73	0.06775645128
74	0.06720064544
75	0.06658032349
76	0.0653523519
77	0.06419347856
78	0.06289389768
79	0.06198159392
80	0.06151221094
81	0.06067703737
82	0.06002019777
83	0.05976957308
84	0.05890969997
85	0.05752797281
86	0.05668036906
87	0.05629332149
88	0.05606137986
89	0.05588366423
90	0.05547183272
91	0.0548055767
92	0.05456127183
93	0.05370496625
94	0.05237661053
95	0.05215614845
96	0.05170440412
97	0.05149273983
98	0.05094348549
99	0.05061404977
100	0.04988504885
101	0.04945318936
102	0.04918431618
103	0.04900469654
104	0.04884190511
105	0.04860756826
106	0.04836212907
107	0.04769317141
108	0.04734456053
109	0.0469798076
110	0.0468002789
111	0.04659387712
112	0.04644451568
113	0.04581149328
114	0.04558343959
115	0.04475910587
116	0.04465556475
117	0.04455423011
118	0.04444679643
119	0.04418426167
120	0.04408779559
121	0.04386961524
122	0.0437609961
123	0.04351332223
124	0.04317375283
125	0.04306154083
126	0.04280568201
127	0.04220812862
128	0.04210999432
129	0.04167435495
130	0.04128738613
131	0.04095891591
132	0.04068732298
133	0.04056045416
134	0.04049130043
135	0.0402673829
136	0.04014250248
137	0.0394541647
138	0.03939920103
139	0.03893856042
140	0.03882691937
141	0.03857263996
142	0.0385158096
143	0.03804255671
144	0.03772951848
145	0.03765886622
146	0.0371727011
147	0.03707130027
148	0.03663361097
149	0.03654786305
150	0.03646058048
151	0.03641019493
152	0.03601270265
153	0.03593832226
154	0.03575731293
155	0.03571595869
156	0.03566215871
157	0.03557724327
158	0.03527591614
159	0.03493645176
160	0.03481735973
161	0.03471007226
162	0.03419084951
163	0.03392309697
164	0.03351786917
165	0.03340950712
166	0.03334379598
167	0.03325303695
168	0.03307330503
169	0.03302072809
170	0.03296254781
171	0.03289484964
172	0.03255960253
173	0.03217736554
174	0.03213199649
175	0.03209305546
176	0.0320468584
177	0.03200105227
178	0.03173561183
179	0.03165314264
180	0.03159804987
181	0.03116683146
182	0.03095822657
183	0.03090784171
184	0.03086825588
185	0.03082463187
186	0.03067931592
187	0.03048627687
188	0.03005438607
189	0.02999026777
190	0.02994100034
191	0.02985888622
192	0.02980764463
193	0.0297480651
194	0.02957680079
195	0.02952549435
196	0.02936066565
197	0.02889048565
198	0.02880818516
199	0.02876481429
200	0.02858447617
201	0.02850999771
202	0.02812136214
203	0.02808668321
204	0.02804415956
205	0.02752481814
206	0.02745904628
207	0.0273471307
208	0.02728998771
209	0.02724255817
210	0.02720446616
211	0.02703748966
212	0.02697553058
213	0.02693223531
214	0.02689536698
215	0.02676356449
216	0.02667053264
217	0.02663872156
218	0.02627195585
219	0.02624604633
220	0.02618857973
221	0.02596406883
222	0.0259288924
223	0.02589645978
224	0.02587063442
225	0.02547768583
226	0.0254283167
227	0.02533570795
228	0.02511265929
229	0.02479398979
230	0.0247187479
231	0.02467165039
232	0.02463766917
233	0.02461224369
234	0.0244868782
235	0.02423594077
236	0.02407075888
237	0.02391802891
238	0.02381784142
239	0.02342057574
240	0.02339280515
241	0.02325119371
242	0.02317374873
243	0.02314434909
244	0.02287468792
245	0.02283514477
246	0.02269440801
247	0.02245085265
248	0.02238985904
249	0.02236609091
250	0.02210903655
251	0.02208667205
252	0.02199570562
253	0.02189851965
254	0.02187947867
255	0.02168471242
256	0.02165962423
257	0.02139679145
258	0.0212713028
259	0.02100302933
260	0.02085223768
261	0.0208289071
262	0.02066054967
263	0.0206411858
264	0.02061438128
265	0.02058870777
266	0.0203695527
267	0.02033218124
268	0.02010540326
269	0.02004393602
270	0.01984813531
271	0.01982674117
272	0.01963882064
273	0.01962014174
274	0.01958990515
275	0.01956274765
276	0.01943865131
277	0.01940782005
278	0.0192023132
279	0.01918348346
280	0.0190908198
281	0.01891244975
282	0.01874744919
283	0.01869402058
284	0.01867461118
285	0.01863292543
286	0.01839640652
287	0.01833780127
288	0.01832025404
289	0.01810582618
290	0.01801966717
291	0.0179998589
292	0.01795417845
293	0.01780387646
294	0.0177082425
295	0.01769186515
296	0.01763996504
297	0.01762111819
298	0.0176054799
299	0.01758498373
300	0.0175536062
301	0.01748260547
302	0.01746880994
303	0.01736517458
304	0.01732731227
305	0.01723935864
306	0.01722086426
307	0.01712231273
308	0.01691378877
309	0.01689296212
310	0.01687625998
311	0.01684696422
312	0.01681712598
313	0.01659371437
314	0.0164985716
315	0.01641712484
316	0.01637014
